Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"Arestado ang  magkapatid  na vendor at tricycle driver makaraang mabitag ang mga ito sa buy-bust operation at makumpiskahan ng hi­git P400,000 halaga ng umano’y shabu sa Caloocan City, kahapon nang madaling-araw.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
NILINAW ng Palasyo na hindi pa lusot si PLtCol Jovie Espenido sa umano’y pagkakaugnay sa droga sa kabila naman ng naunang pahayag ni Pangulong Duterte na nananatili ang tiwala niya sa opisyal matapos na mapabilang sa 367 pulis na nasa narco list.,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"ALAM naman natin na marami talaga ang nagbakasyon at namasyal nitong Semana Santa, pero hindi alintana na mayroon pa ring pandemya dahil sa COVID-19.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
30 jail guard sabit sa cash padala kickback,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Bilang ng mga pulis na tinamaan ng coronavirus, 8,821 na",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Bubuksan ang Malacañang sa darating na Abril 22 upang gawing entablado umano para sa gaganaping ‘Konsyerto sa Palasyo’ (KSP) kung saan magtatanghal ang bagong performing artists sa buong Pilipinas.,15. Other,13. Political,11. Cultural Identity,False
"Umabot sa 25 na gintong medalya ang nahablot ng Pilipinas sa pagpapatuloy ng 32nd Southeast Asian (SEA) Games sa Phnom Penh, Cambodia.",15. Other,15. Other,15. Other,15. Other
Mga lugar na hindi sakop ng ECQ isasailalim sa new normal o general community quarantine (GCQ)–Roque,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Brgy. captain pinagpapaliwanag sa pekeng listahan ng constituents,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"4 magkakapamilya, 8 pa huli sa droga","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
NASAWI sa aksidente sa kalsada ang isang pari sa Zamboanga.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
NAGBABALA si  on public accounts chairman at AnaKalusugan Rep. Mike Defensor sa mga opisyal ng gobyerno na hindi palalagpasin ng Kamara de Representantes ang pagsisinungaling at panloloko sa pagdinig nito.,13. Political,"7. Law and Order, Crime and Justice",13. Political,13. Political
"Pagsibat ng SRA chief, aprub kay Marcos",13. Political,13. Political,13. Political,13. Political
"Lolit Solis hinggil sa pagsusustento ni Paolo Contis: 'Maaga pa, puwede ba siyang bumawi...'",15. Other,15. Other,15. Other,15. Other
"Nanatiling pinakamahirap na sektor sa Pilipinas ang mga mangingisda at magsasaka noong 2021, ayon sa datos ng Philippine Statistics Authority (PSA) na inilabas noong Biyernes, Marso 24.",10. Quality of Life,4. Fairness and Equality,10. Quality of Life,10. Quality of Life
"Game 3, kinuha ng Gin Kings vs TNT sa PBA finals",15. Other,15. Other,15. Other,15. Other
"SA gitna ng mga reklamo dahil sa biglaang paglobo ng bayarin sa kuryente, ipinaalala ng Bayan Muna ang P108 bilyong overcharges, over-recoveries at bill deposits na dapat i-reimburse ng Manila Electric Company sa mga kustomer nito.",1. Economic,"7. Law and Order, Crime and Justice",1. Economic,1. Economic
Speaker Romualdez naalarma sa aksyon ng Kuwait,8. Security and Defense,14. External Regulation and Reputation,13. Political,False
"Shabu, Ecstasy sapaw sa amats ng cocktail drug – PDEA",9. Health and Safety,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
SUMAILALIM sa swab test ang 135 pulis ng Quezon City upang matukoy kung may positibo sa mga ito sa coronavirus disease 2019.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
ARESTADO ang lima katao na nagpapalipas ng oras sa pamamagitan ng paglalaro ng Pusoy Dos sa Quezon City noong Biyernes ng hapon.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Isang 84 anyos na lalaki sa Batanes ang nakitaan ng sintomas ng COVID-19 at nagpositibo sa Rapid Antigen Test.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Wow! ‘Aces of P-pop’ BGYO, tampok sa isang artikulo ng GRAMMYS",15. Other,15. Other,15. Other,15. Other
DOH exec sa bahagyang pagtaas ng kaso ng rabies sa bansa: 'I would not describe it as alarming...',9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Rachel Peters sa kanilang baby no. 2: ""Been baking a little bun.""",15. Other,15. Other,15. Other,15. Other
"INANUNSYO ng Department of Agriculture na gastroenteritis at hindi African swine fever ang ikinamatay ng mga biik sa Brgy. Del Rosario, Iriga City.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Sumampa na sa mahigit 663,000 ang bilang ng mga nasawi sa COVID-19 sa buong mundo.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
IKINATUWA ng Bayan Muna ang utos ng Energy Regulatory Commission sa Manila Electric Company na ibatay sa kuntador ang sisingilin nito sa mga kustomer.,6. Policy Prescription and Evaluation,12. Public Opinion,10. Quality of Life,False
"Ipinagtanggol ng ama ni Hope ""Liza"" Soberano ang anak laban sa bashers at detractors na kumukuyog ngayon sa kaniya, matapos niyang ilabas ang vlog na ""This is Me,"" na nagpapaliwanag sa desisyon niyang tahakin ang direksyon ng kaniyang career na malayo sa mga nakasanayan niya, pagtalikod sa dating manager, talent agency, at home network na naglaan ng oras at effort upang sumikat siya.Ayon sa mga netizen, tila ""ungrateful"" kasi ang tono ni Liza matapos niyang amining tila ""nakahon"" siya sa kaniyang 13 taon sa showbiz; tatlong direktor, isang main co-star, at pare-parehong genres umano ang ginawa niya sa pelikula at teleserye.Ni ang screen name na ""Liza"" raw ay hindi naman siya ang pumili. Sa rebelasyon ni Ogie, ang nagbigay sa kaniya ng screen name ay si Malou Santos ng Star Cinema, ang movie outfit na  ng ABS-CBN.Pakiramdam daw niya ay isa siyang ""bulaklak"" lamang na ipinakikita lamang ang kaniyang ganda subalit naka-stock lamang sa isang lugar.",15. Other,15. Other,15. Other,15. Other
"PCSO: P29.7M jackpot prize ng Grand Lotto 6/55, napanalunan na rin ng taga-Batangas",15. Other,15. Other,15. Other,15. Other
"Madlangbayan, nasungkit People's Choice Award; nakaharap si Lea Salonga",15. Other,15. Other,15. Other,15. Other
Niyugyog ng malakas na lindol ang Turkey na pumalo sa magnitude 6.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Dating gov’t exec rumaraket sa casino,15. Other,"7. Law and Order, Crime and Justice",13. Political,False
Walang Pinoy! Dedbol sa Indonesia quake 162 na,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Balik na sa normal ang operasyon ng mga flight at ground sa Ninoy Aquino International Airport (NAIA) mula kahapon ng umaga matapos kalusin ang red lightning alert.,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
P4M shabu nasamsam sa buy-bust sa QC,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"PBBM, magkakaloob ng scholarship sa mga anak ng 8 nadamay sa pagpaslang kay Degamo",10. Quality of Life,"7. Law and Order, Crime and Justice",13. Political,False
Drug den sa Bohol sinalakay ng PDEA at PNP,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Gang sa India pinaghahanap matapos nakawin ang may isang toneladang dyebs ng baka,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"PBBM inatras sa Maharlika Fund, ipapahawak kay Diokno",13. Political,13. Political,13. Political,13. Political
"12 probinsya sa Northern Luzon, nakataas pa rin sa Signal No. 1 dahil sa Typhoon Betty",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Higit na pinagtibay ng pinsalang dulot ng Bagyong Rolly sa ari-arian at buhay  ang pangangailangang aktuhan ng Kongreso ang panukalang batas na Disaster Resilience Act, ayon kay Albay Representative Joey Salceda.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"1.6M pasahero sa mga pantalan ng PH, naitala sa Semana Santa – PPA",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
POSIBLE umanong umabot sa 10 milyon ang bilang ng mga Filipino na mawalan ng trabaho bunsod ng epekto ng coronavirus disease 2019.,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
Booba is back!' Rufa Mae magbabalik-pelikula,15. Other,15. Other,15. Other,15. Other
Kaso ng rape sa Cagayan sumirit,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Patay ang isang lalaking tumataya sa isang lotto outlet sa Zamboanga matapos barilin ng dalawang hindi kilalang salarin noong Huwebes, Abril 20.Kinilala ni Police Mayor Shellamie Chang, Police Regional Office-9 information officer, ang biktimang si Samuel Isidro Apolinario, 51.Iniulat ng pulisya na tumataya ng lotto si Apolinario sa isang outlet sa Zone 4 Cabaluay nang barilin umano ito ng tatlong beses ng isa sa dalawang suspek na lulan ng motorsiklo.Agad na dinala ang biktima sa government hospital habang nakatakas naman ang mga suspek patungong Barangay Culianan.","7. Law and Order, Crime and Justice",15. Other,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"NAKATANGGAP ng libo-libong personal protective equipment (PPE), testing kits at food assistance ang mga ospital at local government units kamakailan kay Sen. Grace Poe.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
POSIBLENG mahirapan umanong bumangon ang ekonomiya ng bansa kapag natapos na ang problema sa coronavirus disease 2019 kung aalisan ng budget ang mga infrastructure projects ng gobyerno.,1. Economic,1. Economic,1. Economic,1. Economic
"NAHAHARAP sa patong-patong na kaso ang lima katao na nakuhanan ng baril at shabu habang nag-iinuman sa Mandaue, Cebu kaninang madaling araw.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Inaasahang mapapadali na ang biyahe  mula Cavite hanggang Bataan kapag natapos  ang dalawang tulay na sinimulan ng Department of Public Works and Highways (DPWH).,10. Quality of Life,10. Quality of Life,2. Capacity and Resources,10. Quality of Life
"Nasamsam ng CIDG Nueva Ecija ang mga ipinuslit na sigarilyo na may halaga na hindi bababa sa P360,000 noong Pebrero 16 sa Brgy. Malasin, Sto. Domingo, Nueva Ecija. Kinilala naman ni CIDG Director PBGen. Romeo Caramat, Jr. ang dalawang suspek na sina Francis Morillo Acosta and Christian Abet Vengco na pawang taga-Sto. Domingo, Nueva Ecija.Nahuli ang mga akusado sa isinagawang buy-bust operation ng isinagawa ng CIDG Nueva Ecija PFU at iba pang PNP units habang nasamsam naman sa kanila ang mga sumusunod:Marked at boodle money, 50 reams ng Marlboro Red, 450 reams ng HP Red, 95 reams ng Modern Red, 100 reams ng Two Moon Blue, 125 reams ng Journey Red, 150 reams ng Farstar Gold, 100 reams ng Carnival Red, 150 reams ng Two Moon Green, 150 reams ng Modern White, at 50 reams ng Royal Red.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Makikipag-dayalogo si Senador Christopher Lawrence “Bong” Go sa  business sector at National Task Force officials para ayusin kung paano pa mapapaigting ng pamahalaan ang pagtugon sa problema sa COVID-19.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Kung may tyaga, siguradong may malalaga, napatunayan ‘yan ng isang Pinay nursing graduate na piniling talikuran ang tinapos na kurso para magtrabaho abroad at kalaunan ay makapagpatayo ng sariling negosyo.",15. Other,3. Morality,15. Other,15. Other
"BUKOD sa pagkakaroon ng pneumonia, nakikipaglaban din ngayon ang PBA legend na si Robert “Sonny” Jaworski sa isang “rare blood disease.”",15. Other,9. Health and Safety,15. Other,15. Other
"Hindi maitatatwang in-demand actor ngayon ang gumaganap na ""Fidel"" sa hit teleseryeng ""Maria Clara at Ibarra"" na si David Licauco, na talaga namang kinakikiligan hindi lamang ng kababaihan kundi maging ng sangkabekihan.Dahil sa angking-husay sa pag-arte, hindi maitatangging good looks at chemistry nila ni Barbie Forteza, talaga namang tila marami na ang ""pumipila"" para sa kaniya. Ngunit marami ang nagsasabing kagaya kay Kapamilya actor Joshua Garcia ay mukhang punumpuno na rin ang mga abangers kay David.Kaya naman, isang netizen na nagngangalang ""Jayden Bang"" na kung sakaling hindi palarin kay David, eh baka sa kapatid na lamang nitong kasing guwapo at charming niya puwedeng pumila.""Kung hindi papalarin kay David Licauco puwede bang sa kapatid n'ya na lang na volleyball player?,"" saad nito, kalakip ang ilang larawan ng sinasabing kapatid ng Kapuso actor.",15. Other,15. Other,15. Other,15. Other
Nagbabala ang Philippine Institute of Volcanology and Seismology na ang lokasyon ng panukalang P736-bilyong international airport project sa Bulacan ay bahain at bulnerable sa malakas na pagyanig ng lupa.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
DALAWANG tao na ang naiulat na nasawi at di bababa sa pito ang nasugatan noong kasagsagan ng bagyong “Ambo.”,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Ininda diumano ng Monde Nissin Corporation ang product recall ng Lucky Me instant noodles sa Europe at malaki ang binagsak ng benta nito.,1. Economic,1. Economic,1. Economic,1. Economic
Libong empleyado sa aviation sector tatanggalin sa trabaho,2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
Operasyon ng ABS-CBN tuloy pa rin bukas,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"Matapos ang mga pahayag ni Raquel Pempengco, nanay ni Jake Zyrus na dating si international singing sensation Charice Pempengco, tungkol sa concert ni Canadian  David Foster at tila pasaring kay Asia's Phoenix Morissette Amon, tila dedma naman daw ito sa mga pinagsasabi ng una.",15. Other,15. Other,15. Other,15. Other
"Umani ng iba't ibang reaksiyon at komento ang pagsusuot ni Filipino-American sports journalist at host Pablo Torre ng sikat at iginagalang na academic sash na isinusuot tuwing graduation rites sa University of the Philippines o UP, sa dinaluhang 2nd Annual Gold House Gold Gala.Dumalo rin sa naturang event ang ilang notable Filipino celebrities gaya nina Liza Soberano, Bella Poarch, Patrick Starr, at lea Salonga.Hindi nagustuhan ng mga netizen, lalo na ng mga taga-UP (dati at kasalukuyan) ang ginawang pagsusuot ng UP Sablay ni Torre sa naturang event; sana raw, Barong Tagalog na lamang ang isinuot niya.Pinagtataasan kasi ng kilay ang pagsusuot niya ng naturang acad sash gayong hindi naman daw siya graduate ng UP. Siya ay nagtapos sa Harvard University. Ang nagtapos sa UP ay ang kaniyang mga magulang.",15. Other,15. Other,15. Other,15. Other
"""Produkto rin ako ng broken family. Pero ngayon okay na lahat...""",15. Other,15. Other,15. Other,15. Other
"Aabot sa mahigit P2 milyon halaga ng marijuana bricks ang nakumpiska ng mga tauhan ng Philippine Drug Enforcement Agency (PDEA) sa Bontoc, Mt. Province.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Inihain ni Senador Raffy Tulfo ang Senate Bill 1696 o ang Magna Carta for Barangay Officials, Personnel and Volunteer Workers nitong Biyernes, Enero 20, sa layong mabigyan ng mas mataas na sahod at mga benepisyo ang mga empleyado sa barangay, maging ang volunteers at health personnel nito.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Election exec sa Davao Del Norte, itinalaga ni Duterte na bagong Comelec commissioner",13. Political,2. Capacity and Resources,13. Political,13. Political
KASAMA si dating Manila Archbishop Cardinal Luis Antonio Tagle sa mga tinanggal sa pwesto ni Pope Francis sa Caritas Internationalis (CI).,3. Morality,3. Morality,3. Morality,3. Morality
Inaasahan ng Bangko Sentral ng Pilipinas (BSP) na bumaba ang inflation rate sa 7.4-8.2% nitong Marso mula sa 8.6% noong Pebrero dahil sa rollback sa pres­yo ng mga produktong petrolyo at mas mababang pres­yo ng gulay at prutas.,1. Economic,1. Economic,1. Economic,1. Economic
Inspirasyon ang hatid ng isang grade 3 student sa Davao matapos niyang ibalik ang napulot na pera sa owner nito na cancer survivor.,15. Other,3. Morality,15. Other,15. Other
Dating tanod pinatay,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Ex-NSA Carlos sa onion smuggling issue: 'Nag-resign na ako, tantanan na nila ako'",13. Political,"7. Law and Order, Crime and Justice",13. Political,13. Political
Erwin Tulfo bulilyaso puwesto sa kongreso,13. Political,13. Political,13. Political,13. Political
P102K shabu nasamsam sa buy-bust,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Anomalya sa PhilHealth iimbestigahan,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Beau Belga, sinuspindi ng Rain or Shine dahil sa suntukan sa Cebu",15. Other,15. Other,15. Other,15. Other
INAPRUBAHAN kanina ng Defeat COVID-19 Committee ng Kamara de Representantes ang tatlong panukala na makatutulong umano sa bansa upang agad na makabangon sa epekto ng coronavirus disease 2019.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Nakatakdang bumiyahe patungong France si Philippine National Police (PNP) chief Gen. Rodolfo Azurin Jr. para dumalo sa taunang pagpupulong ng International Criminal Police Organization (Interpol) upang mapagtibay ng mga kasaping bansa ang kampanya laban sa mga transnational crime.,14. External Regulation and Reputation,"7. Law and Order, Crime and Justice",14. External Regulation and Reputation,14. External Regulation and Reputation
"Malaking kalabisan ang ginawang pagtatalaga ng 29 na House Deputy Speaker sa Kamara de Representantes, ayon sa isang political analyst.",13. Political,13. Political,13. Political,13. Political
Posibleng maglabas ng desisyon ang pamahalaan sa susunod na linggo kung palalawigin pa ang SIM card registration pagkatapos ng April 26 deadline nito.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"1 pang kongresista nagpositibo, 1 nagnegatibo sa COVID-19",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Hapones wanted sa pagnanakaw, pangingikil huli","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Swak sa kulungan ang dalawang electrician matapos ‘makuryente’ sa ikinasang buy-bust operation at paiskoran ng shabu ang isang pulis sa Malabon City kahapon ng madaling-araw.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Kahit binatbat at inulan ng isyu at kontrobersiya, handa pa rin umano si Kapuso actor Paolo Contis na makasama sa isang proyekto at makatrabaho ang kaniyang girlfriend na si Yen Santos.Ayon sa ulat ng Manila Bulletin, nakapanayam si Paolo sa Cornerstone Studio sa Quezon City, at sinabi niyang grateful siya sa producer ng mga pinagbidahan niyang pelikula dahil sa pagtitiwala sa kaniya.""I'm just very thankful with MavX Productions. Si Lucky (Blanco) yung nagsugal sa 'Through Night and Day' at saka yung 'Ang Pangarap Kong Holdap' at ako yung kinuha niya. Nagtuloy-tuloy na. I'm so thankful na ako ang kinuha nila regardless of the issues that I go through,"" ani Paolo.""Masarap isipin na isa sila sa mga taong hindi nag-judge at tinitignan yung personal na buhay but more on the professional side.""",15. Other,15. Other,15. Other,15. Other
"Sumipa na sa 96 ang kaso ng hand, foot and mouth disease (HFMD) sa bayan ng Roxas sa Palawan.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Patay ang 59 migrante, kabilang ang isang sanggol habang mahigit 60 pa ang nawawala nang lumubog ang sinasakyan nilang overloaded na bangka sa Calabria region sa Italy nitong Linggo.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
ARTablado presents ARTurismo 3 at Robinsons Antipolo,15. Other,11. Cultural Identity,15. Other,15. Other
"Babawiin na ng Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) ang warning signal ng bagyong Betty dahil papalayo na ito sa Pilipinas.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
HINDI umano kailangang magpatumpik-tumpik ang Kamara de Representantes at agad na ipasa ang Bayanihan II sa pagbabalik sesyon sa huling linggo ng buwan.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Nanawagan ang isang transport group sa Land Transportation Franchising and Regulatory Board (LTFRB) na pag-aralan ang “automatic fare adjustment” dahil sa patuloy na pagsirit ng presyo ng petrolyo sa bansa.,6. Policy Prescription and Evaluation,12. Public Opinion,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Pamamaril ng kapulisan sa 2 asong sina Marshall at Millions sa London, nagdulot ng protesta",12. Public Opinion,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Dagdag-sahod sa gobyerno ilalabas na,6. Policy Prescription and Evaluation,1. Economic,10. Quality of Life,False
KALABOSO ang 37-anyos na lalaki na sumapak umano sa isang teenager na kanya ring tinutukan ng baril sa Quezon City kaninang umaga.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Composer Lolito Go, sinagot pagtatanggol ni Cornerstone VP Jeff Vadillo kay Moira",15. Other,15. Other,15. Other,15. Other
"Maglalaan ng sapat na pondo ang gobyerno upang mabayaran ang mga pamilyang naapektuhan ng giyera sa Marawi City noong 2017, ayon sa pahayag ng Malacañang nitong Lunes.",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"CHR, mag-iimbestiga sa pagkasawi ng isang transgender sa QC",4. Fairness and Equality,4. Fairness and Equality,"7. Law and Order, Crime and Justice",4. Fairness and Equality
Isinulong ni Senador Robinhood “Robin” Padilla ang pagbabalik ng parusang kamatayan dahil palala nang palala ang mga kriminal ngayon sa bansa.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Doktor, umani ng papuri sa netizens sa kaniyang ‘well-written’ na reseta",15. Other,15. Other,15. Other,15. Other
Working seniors papayagan lumabas habang nasa GCQ,10. Quality of Life,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Mamahaling phone ni Mommy Pinty, isinauli ng isang delivery rider",15. Other,15. Other,15. Other,15. Other
Military takeover sa Negros Oriental sineryoso ni Padilla,13. Political,13. Political,13. Political,13. Political
ISASAILALIM sa “total lockdown” ang buong Luzon kung magpapatuloy ang mga residente na balewalain  quarantine.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Nasakote ng pinagsanib na puwersa ng pulisya at militar ang tatlong lider ng New People’s Army (NPA) sa Sitio Pinamactinan, Barangay Cambayobo, Calatrava, Negros Occidental.",8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
Pinuri Senador Christopher ‘Bong’ Go ang pagsisikap ng mga lokal na opisyal at law enforcement agency na ituloy ang laban kontra ilegal na droga para mabawasan ang kriminalidad at korapsyon sa komunidad.,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
MUKHANG lalo nakakabahala ang pagtaas ng COVID-19 positivity rate o bilang ng mga nahahawaan ng virus sa ating bansa.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Aniya, mas matatag na loob ang bitbit niya ngayon kung ikukumpara sa dati niyang kondisyon.",15. Other,15. Other,15. Other,15. Other
Ibinahagi ni Pasig City Mayor Vico Sotto na plano ng pamahalaang lungsod na magtayo ng pangalawang aklatan sa lungsod sa 2024.,6. Policy Prescription and Evaluation,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"HINDI napigilan ang Filipino-Canadian na si Leylah Annie Fernadez umusad sa ikatlong round matapos nitong biguin ang nakaharap na si American Emma Navarro, 6-2, 6-4, sa ginaganap na women’s singles ng BNP Paribas Open 2023 sa Indian Wells, California.",15. Other,15. Other,15. Other,15. Other
"Gaano ka kabilis mag-type sa  o laptop? Kaya mo bang magtipa sa keyboard kahit may piring ang iyong mga mata?Sa makabagong panahon ngayon, halos wala na yatang propesyon ang hindi gumagamit  at laptop, sa on-site man o work-from-home. Isang mahalagang skill at advantage na rin kung maalam ka sa paggamit ng mga makabagong kagamitang ito.Subalit alam mo bang noong wala pang laptop o  ang ginagamit ng mga tao sa mga paaralan o opisina ay ""makinilya"" o typewriter?Sa katunayan, nagkaroon pa ng asignaturang ""Typing"" noon.",15. Other,15. Other,15. Other,15. Other
Duterte sa mga lalabag sa lockdown: Shoot them dead,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice"
Surigao del Sur niyanig ng magnitude 4.8,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Pinasinayaannina Senador Lito Lapid at Manila Mayor Honey Lacuna ang bagong Infectious Disease Unit (IDU) ng Gat Andres Bonifacio Medical Center sa Tondo, Maynila nitong Biyernes, Abril 21.Isa si Lapid ang tumulong upang maisakatuparan ang nasabing proyekto. Naglaan ito ng P30 milyon sa Department of Public Works and Highway (DPWH) para sa IDU, na matatagpuan sa ikapitong palapag ng ospital.Ang bagong fully air-conditioned IDU ay kayang tumanggap ng mahigit 40 pasyente. Layunin din nito na madagdagan ang kakayahan ng opstial na makapagbigay ng serbisyong medikal sa mas nakararami.Nagpasalamat naman si Lacuna sa mga doktor, nars, at kay Lapid sa pagtatayo ng unit na mangangalaga sa kalusugan ng mga residente ng Maynila at mula sa mga karatig na lugar.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Bomba sumambulat, 6 sundalo bulagta","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Inanunsyo ng drag queen-host na si Manila Luzon kasama ang direktor na si Rod Singh ang mga detalye sa ikalawang season ng drag-reality TV show na “Drag Den Philippines,” Biyernes, Abril 14.Ngayong araw din mismo binuksan ang audition na tatakbo hanggang sa Abril 30 para sa nagnanais maging bahagi ng programa.Makikita sa Facebook page ng “Drag Den Philippines” ang mga detalye ng audition.",15. Other,15. Other,15. Other,15. Other
Ex-barangay kagawad bumulagta sa ambush,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Pokwang sa kaniyang pinagdaraanan: 'Bangon at nanay ka, marami ka pang labada!'",15. Other,15. Other,15. Other,15. Other
4 huli sa sabong,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
